Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN33040133	WHP4355	WHP4355	Severe acute respiratory syndrome coronavirus 2	2697049	2609	PRJNA930974
SAMN33040134	WHP4356	WHP4356	Severe acute respiratory syndrome coronavirus 2	2697049	2625	PRJNA930974
SAMN33040135	WHP4361	WHP4361	Severe acute respiratory syndrome coronavirus 2	2697049	2621	PRJNA930974
SAMN33040136	WHP4365	WHP4365	Severe acute respiratory syndrome coronavirus 2	2697049	2622	PRJNA930974
SAMN33040137	WHP4366	WHP4366	Severe acute respiratory syndrome coronavirus 2	2697049	2626	PRJNA930974
SAMN33040138	WHP4367	WHP4367	Severe acute respiratory syndrome coronavirus 2	2697049	2623	PRJNA930974
SAMN33040139	WHP4372	WHP4372	Severe acute respiratory syndrome coronavirus 2	2697049	2628	PRJNA930974
SAMN33040140	WHP4377	WHP4377	Severe acute respiratory syndrome coronavirus 2	2697049	2629	PRJNA930974
SAMN33040141	WHP4380	WHP4380	Severe acute respiratory syndrome coronavirus 2	2697049	2632	PRJNA930974
SAMN33040142	WHP4382	WHP4382	Severe acute respiratory syndrome coronavirus 2	2697049	2627	PRJNA930974
SAMN33040143	WHP4384	WHP4384	Severe acute respiratory syndrome coronavirus 2	2697049	2630	PRJNA930974
SAMN33040144	WHP4385	WHP4385	Severe acute respiratory syndrome coronavirus 2	2697049	2631	PRJNA930974
SAMN33040145	WHP4424	WHP4424	Severe acute respiratory syndrome coronavirus 2	2697049	2637	PRJNA930974
SAMN33040146	WHP4426	WHP4426	Severe acute respiratory syndrome coronavirus 2	2697049	2634	PRJNA930974
SAMN33040147	WHP4427	WHP4427	Severe acute respiratory syndrome coronavirus 2	2697049	2635	PRJNA930974
SAMN33040148	WHP4428	WHP4428	Severe acute respiratory syndrome coronavirus 2	2697049	2636	PRJNA930974
SAMN33040149	WHP4429	WHP4429	Severe acute respiratory syndrome coronavirus 2	2697049	2638	PRJNA930974
SAMN33040150	WHP4430	WHP4430	Severe acute respiratory syndrome coronavirus 2	2697049	2639	PRJNA930974
SAMN33040151	WHP4431	WHP4431	Severe acute respiratory syndrome coronavirus 2	2697049	2640	PRJNA930974
SAMN33040152	WHP4433	WHP4433	Severe acute respiratory syndrome coronavirus 2	2697049	2260	PRJNA930974
SAMN33040153	WHP4435	WHP4435	Severe acute respiratory syndrome coronavirus 2	2697049	2294	PRJNA930974
SAMN33040154	WHP4436	WHP4436	Severe acute respiratory syndrome coronavirus 2	2697049	2644	PRJNA930974
SAMN33040155	WHP4437	WHP4437	Severe acute respiratory syndrome coronavirus 2	2697049	2645	PRJNA930974
SAMN33040156	WHP4438	WHP4438	Severe acute respiratory syndrome coronavirus 2	2697049	2646	PRJNA930974
SAMN33040157	WHP4442	WHP4442	Severe acute respiratory syndrome coronavirus 2	2697049	2647	PRJNA930974
SAMN33040158	WHP4445	WHP4445	Severe acute respiratory syndrome coronavirus 2	2697049	2633	PRJNA930974
SAMN33040159	WHP4452	WHP4452	Severe acute respiratory syndrome coronavirus 2	2697049	2641	PRJNA930974
SAMN33040160	WHP4454	WHP4454	Severe acute respiratory syndrome coronavirus 2	2697049	2642	PRJNA930974
SAMN33040161	WHP4455	WHP4455	Severe acute respiratory syndrome coronavirus 2	2697049	2643	PRJNA930974
SAMN33040162	WHP4469	WHP4469	Severe acute respiratory syndrome coronavirus 2	2697049	2648	PRJNA930974
SAMN33040163	WHP4471	WHP4471	Severe acute respiratory syndrome coronavirus 2	2697049	2649	PRJNA930974
SAMN33040164	WHP4474	WHP4474	Severe acute respiratory syndrome coronavirus 2	2697049	2650	PRJNA930974
SAMN33040165	WHP4492	WHP4492	Severe acute respiratory syndrome coronavirus 2	2697049	2657	PRJNA930974
SAMN33040166	WHP4500	WHP4500	Severe acute respiratory syndrome coronavirus 2	2697049	2652	PRJNA930974
SAMN33040167	WHP4501	WHP4501	Severe acute respiratory syndrome coronavirus 2	2697049	2653	PRJNA930974
SAMN33040168	WHP4504	WHP4504	Severe acute respiratory syndrome coronavirus 2	2697049	2654	PRJNA930974
SAMN33040169	WHP4505	WHP4505	Severe acute respiratory syndrome coronavirus 2	2697049	2655	PRJNA930974
SAMN33040170	WHP4506	WHP4506	Severe acute respiratory syndrome coronavirus 2	2697049	2656	PRJNA930974
SAMN33040171	WHP4515	WHP4515	Severe acute respiratory syndrome coronavirus 2	2697049	2651	PRJNA930974
SAMN33040172	WHP4531	WHP4531	Severe acute respiratory syndrome coronavirus 2	2697049	2662	PRJNA930974
SAMN33040173	WHP4545	WHP4545	Severe acute respiratory syndrome coronavirus 2	2697049	2661	PRJNA930974
SAMN33040174	WHP4555	WHP4555	Severe acute respiratory syndrome coronavirus 2	2697049	2660	PRJNA930974
