Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN33040175	WHP4560	WHP4560	Severe acute respiratory syndrome coronavirus 2	2697049	2659	PRJNA930974
SAMN33040176	WHP4574	WHP4574	Severe acute respiratory syndrome coronavirus 2	2697049	2658	PRJNA930974
SAMN33040177	WHP4594	WHP4594	Severe acute respiratory syndrome coronavirus 2	2697049	2663	PRJNA930974
SAMN33040178	WHP4670	WHP4670	Severe acute respiratory syndrome coronavirus 2	2697049	2178	PRJNA930974
SAMN33040179	WHP4671	WHP4671	Severe acute respiratory syndrome coronavirus 2	2697049	2177	PRJNA930974
SAMN33040180	WHP4672	WHP4672	Severe acute respiratory syndrome coronavirus 2	2697049	2176	PRJNA930974
SAMN33040181	WHP4673	WHP4673	Severe acute respiratory syndrome coronavirus 2	2697049	2198	PRJNA930974
SAMN33040182	WHP4692	WHP4692	Severe acute respiratory syndrome coronavirus 2	2697049	1408	PRJNA930974
SAMN33040183	WHP4694	WHP4694	Severe acute respiratory syndrome coronavirus 2	2697049	1455	PRJNA930974
SAMN33040184	WHP4701	WHP4701	Severe acute respiratory syndrome coronavirus 2	2697049	1887	PRJNA930974
SAMN33040185	WHP4707	WHP4707	Severe acute respiratory syndrome coronavirus 2	2697049	2074	PRJNA930974
SAMN33040186	WHP4736	WHP4736	Severe acute respiratory syndrome coronavirus 2	2697049	2666	PRJNA930974
SAMN33040187	WHP4738	WHP4738	Severe acute respiratory syndrome coronavirus 2	2697049	2668	PRJNA930974
SAMN33040188	WHP4741	WHP4741	Severe acute respiratory syndrome coronavirus 2	2697049	2664	PRJNA930974
SAMN33040189	WHP4743	WHP4743	Severe acute respiratory syndrome coronavirus 2	2697049	2665	PRJNA930974
SAMN33040190	WHP4746	WHP4746	Severe acute respiratory syndrome coronavirus 2	2697049	1	PRJNA930974
SAMN33040191	WHP4750	WHP4750	Severe acute respiratory syndrome coronavirus 2	2697049	2667	PRJNA930974
SAMN33040192	WHP4766	WHP4766	Severe acute respiratory syndrome coronavirus 2	2697049	2669	PRJNA930974
SAMN33040193	WHP4772	WHP4772	Severe acute respiratory syndrome coronavirus 2	2697049	2675	PRJNA930974
SAMN33040194	WHP4779	WHP4779	Severe acute respiratory syndrome coronavirus 2	2697049	2676	PRJNA930974
SAMN33040195	WHP4784	WHP4784	Severe acute respiratory syndrome coronavirus 2	2697049	2670	PRJNA930974
SAMN33040196	WHP4786	WHP4786	Severe acute respiratory syndrome coronavirus 2	2697049	2671	PRJNA930974
SAMN33040197	WHP4787	WHP4787	Severe acute respiratory syndrome coronavirus 2	2697049	2672	PRJNA930974
SAMN33040198	WHP4790	WHP4790	Severe acute respiratory syndrome coronavirus 2	2697049	2673	PRJNA930974
SAMN33040199	WHP4791	WHP4791	Severe acute respiratory syndrome coronavirus 2	2697049	2674	PRJNA930974
SAMN33040200	WHP4792	WHP4792	Severe acute respiratory syndrome coronavirus 2	2697049	2677	PRJNA930974
SAMN33040201	WHP4793	WHP4793	Severe acute respiratory syndrome coronavirus 2	2697049	2678	PRJNA930974
SAMN33040202	WHP4794	WHP4794	Severe acute respiratory syndrome coronavirus 2	2697049	2679	PRJNA930974
SAMN33040203	WHP4796	WHP4796	Severe acute respiratory syndrome coronavirus 2	2697049	2680	PRJNA930974
SAMN33040204	WHP4799	WHP4799	Severe acute respiratory syndrome coronavirus 2	2697049	2681	PRJNA930974
SAMN33040205	WHP4800	WHP4800	Severe acute respiratory syndrome coronavirus 2	2697049	2682	PRJNA930974
SAMN33040206	WHP4801	WHP4801	Severe acute respiratory syndrome coronavirus 2	2697049	2683	PRJNA930974
SAMN33040207	WHP4803	WHP4803	Severe acute respiratory syndrome coronavirus 2	2697049	2684	PRJNA930974
SAMN33040208	WHP4805	WHP4805	Severe acute respiratory syndrome coronavirus 2	2697049	2685	PRJNA930974
SAMN33040209	WHP4806	WHP4806	Severe acute respiratory syndrome coronavirus 2	2697049	2686	PRJNA930974
SAMN33040210	WHP4814	WHP4814	Severe acute respiratory syndrome coronavirus 2	2697049	2694	PRJNA930974
SAMN33040211	WHP4816	WHP4816	Severe acute respiratory syndrome coronavirus 2	2697049	2687	PRJNA930974
SAMN33040212	WHP4817	WHP4817	Severe acute respiratory syndrome coronavirus 2	2697049	2689	PRJNA930974
SAMN33040213	WHP4818	WHP4818	Severe acute respiratory syndrome coronavirus 2	2697049	2690	PRJNA930974
SAMN33040214	WHP4819	WHP4819	Severe acute respiratory syndrome coronavirus 2	2697049	2692	PRJNA930974
SAMN33040215	WHP4820	WHP4820	Severe acute respiratory syndrome coronavirus 2	2697049	2693	PRJNA930974
SAMN33040216	WHP4824	WHP4824	Severe acute respiratory syndrome coronavirus 2	2697049	2695	PRJNA930974
SAMN33040217	WHP4826	WHP4826	Severe acute respiratory syndrome coronavirus 2	2697049	2688	PRJNA930974
SAMN33040218	WHP4828	WHP4828	Severe acute respiratory syndrome coronavirus 2	2697049	2691	PRJNA930974
SAMN33040219	WHP4832	WHP4832	Severe acute respiratory syndrome coronavirus 2	2697049	2696	PRJNA930974
SAMN33040220	WHP4833	WHP4833	Severe acute respiratory syndrome coronavirus 2	2697049	2697	PRJNA930974
SAMN33040221	WHP4834	WHP4834	Severe acute respiratory syndrome coronavirus 2	2697049	2	PRJNA930974
SAMN33040222	WHP4836	WHP4836	Severe acute respiratory syndrome coronavirus 2	2697049	2698	PRJNA930974
SAMN33040223	WHP4837	WHP4837	Severe acute respiratory syndrome coronavirus 2	2697049	3	PRJNA930974
SAMN33040224	WHP4838	WHP4838	Severe acute respiratory syndrome coronavirus 2	2697049	4	PRJNA930974
SAMN33040225	WHP4842	WHP4842	Severe acute respiratory syndrome coronavirus 2	2697049	2699	PRJNA930974
SAMN33040226	WHP4843	WHP4843	Severe acute respiratory syndrome coronavirus 2	2697049	2700	PRJNA930974
SAMN33040227	WHP4845	WHP4845	Severe acute respiratory syndrome coronavirus 2	2697049	2701	PRJNA930974
SAMN33040228	WHP4847	WHP4847	Severe acute respiratory syndrome coronavirus 2	2697049	5	PRJNA930974
SAMN33040229	WHP4848	WHP4848	Severe acute respiratory syndrome coronavirus 2	2697049	6	PRJNA930974
SAMN33040230	WHP4851	WHP4851	Severe acute respiratory syndrome coronavirus 2	2697049	7	PRJNA930974
SAMN33040231	WHP4857	WHP4857	Severe acute respiratory syndrome coronavirus 2	2697049	8	PRJNA930974
SAMN33040232	WHP4858	WHP4858	Severe acute respiratory syndrome coronavirus 2	2697049	9	PRJNA930974
SAMN33040233	WHP4861	WHP4861	Severe acute respiratory syndrome coronavirus 2	2697049	2702	PRJNA930974
SAMN33040234	WHP4862	WHP4862	Severe acute respiratory syndrome coronavirus 2	2697049	2703	PRJNA930974
SAMN33040235	WHP4863	WHP4863	Severe acute respiratory syndrome coronavirus 2	2697049	10	PRJNA930974
SAMN33040236	WHP4864	WHP4864	Severe acute respiratory syndrome coronavirus 2	2697049	11	PRJNA930974
SAMN33040237	WHP4871	WHP4871	Severe acute respiratory syndrome coronavirus 2	2697049	13	PRJNA930974
SAMN33040238	WHP4872	WHP4872	Severe acute respiratory syndrome coronavirus 2	2697049	14	PRJNA930974
SAMN33040239	WHP4874	WHP4874	Severe acute respiratory syndrome coronavirus 2	2697049	15	PRJNA930974
SAMN33040240	WHP4877	WHP4877	Severe acute respiratory syndrome coronavirus 2	2697049	16	PRJNA930974
SAMN33040241	WHP4880	WHP4880	Severe acute respiratory syndrome coronavirus 2	2697049	17	PRJNA930974
SAMN33040242	WHP4883	WHP4883	Severe acute respiratory syndrome coronavirus 2	2697049	12	PRJNA930974
SAMN33040243	WHP4884	WHP4884	Severe acute respiratory syndrome coronavirus 2	2697049	2704	PRJNA930974
SAMN33040244	WHP4885	WHP4885	Severe acute respiratory syndrome coronavirus 2	2697049	2705	PRJNA930974
SAMN33040245	WHP4886	WHP4886	Severe acute respiratory syndrome coronavirus 2	2697049	2706	PRJNA930974
SAMN33040246	WHP4887	WHP4887	Severe acute respiratory syndrome coronavirus 2	2697049	2707	PRJNA930974
SAMN33040247	WHP4889	WHP4889	Severe acute respiratory syndrome coronavirus 2	2697049	18	PRJNA930974
SAMN33040248	WHP4890	WHP4890	Severe acute respiratory syndrome coronavirus 2	2697049	19	PRJNA930974
SAMN33040249	WHP4903	WHP4903	Severe acute respiratory syndrome coronavirus 2	2697049	2708	PRJNA930974
SAMN33040250	WHP4911	WHP4911	Severe acute respiratory syndrome coronavirus 2	2697049	20	PRJNA930974
SAMN33040251	WHP4915	WHP4915	Severe acute respiratory syndrome coronavirus 2	2697049	21	PRJNA930974
SAMN33040252	WHP4929	WHP4929	Severe acute respiratory syndrome coronavirus 2	2697049	22	PRJNA930974
SAMN33040253	WHP4940	WHP4940	Severe acute respiratory syndrome coronavirus 2	2697049	23	PRJNA930974
SAMN33040254	WHP4959	WHP4959	Severe acute respiratory syndrome coronavirus 2	2697049	24	PRJNA930974
SAMN33040255	WHP4963	WHP4963	Severe acute respiratory syndrome coronavirus 2	2697049	25	PRJNA930974
SAMN33040256	WHP4964	WHP4964	Severe acute respiratory syndrome coronavirus 2	2697049	26	PRJNA930974
SAMN33040257	WHP4965	WHP4965	Severe acute respiratory syndrome coronavirus 2	2697049	27	PRJNA930974
SAMN33040258	WHP4967	WHP4967	Severe acute respiratory syndrome coronavirus 2	2697049	28	PRJNA930974
SAMN33040259	WHP4968	WHP4968	Severe acute respiratory syndrome coronavirus 2	2697049	29	PRJNA930974
SAMN33040260	WHP4970	WHP4970	Severe acute respiratory syndrome coronavirus 2	2697049	2709	PRJNA930974
SAMN33040261	WHP4971	WHP4971	Severe acute respiratory syndrome coronavirus 2	2697049	30	PRJNA930974
SAMN33040262	WHP4977	WHP4977	Severe acute respiratory syndrome coronavirus 2	2697049	31	PRJNA930974
SAMN33040263	WHP4989	WHP4989	Severe acute respiratory syndrome coronavirus 2	2697049	32	PRJNA930974
SAMN33040264	WHP4995	WHP4995	Severe acute respiratory syndrome coronavirus 2	2697049	33	PRJNA930974
SAMN33040265	WHP5002	WHP5002	Severe acute respiratory syndrome coronavirus 2	2697049	2710	PRJNA930974
SAMN33040266	WHP5004	WHP5004	Severe acute respiratory syndrome coronavirus 2	2697049	34	PRJNA930974
SAMN33040267	WHP5005	WHP5005	Severe acute respiratory syndrome coronavirus 2	2697049	35	PRJNA930974
SAMN33040268	WHP5006	WHP5006	Severe acute respiratory syndrome coronavirus 2	2697049	36	PRJNA930974
SAMN33040269	WHP5007	WHP5007	Severe acute respiratory syndrome coronavirus 2	2697049	37	PRJNA930974
SAMN33040270	WHP5010	WHP5010	Severe acute respiratory syndrome coronavirus 2	2697049	38	PRJNA930974
SAMN33040271	WHP5012	WHP5012	Severe acute respiratory syndrome coronavirus 2	2697049	39	PRJNA930974
SAMN33040272	WHP5013	WHP5013	Severe acute respiratory syndrome coronavirus 2	2697049	40	PRJNA930974
SAMN33040273	WHP5014	WHP5014	Severe acute respiratory syndrome coronavirus 2	2697049	41	PRJNA930974
SAMN33040274	WHP5015	WHP5015	Severe acute respiratory syndrome coronavirus 2	2697049	42	PRJNA930974
SAMN33040275	WHP5019	WHP5019	Severe acute respiratory syndrome coronavirus 2	2697049	43	PRJNA930974
SAMN33040276	WHP5021	WHP5021	Severe acute respiratory syndrome coronavirus 2	2697049	44	PRJNA930974
SAMN33040277	WHP5022	WHP5022	Severe acute respiratory syndrome coronavirus 2	2697049	45	PRJNA930974
SAMN33040278	WHP5027	WHP5027	Severe acute respiratory syndrome coronavirus 2	2697049	46	PRJNA930974
SAMN33040279	WHP5028	WHP5028	Severe acute respiratory syndrome coronavirus 2	2697049	48	PRJNA930974
SAMN33040280	WHP5037	WHP5037	Severe acute respiratory syndrome coronavirus 2	2697049	49	PRJNA930974
SAMN33040281	WHP5042	WHP5042	Severe acute respiratory syndrome coronavirus 2	2697049	47	PRJNA930974
SAMN33040282	WHP5045	WHP5045	Severe acute respiratory syndrome coronavirus 2	2697049	53	PRJNA930974
SAMN33040283	WHP5046	WHP5046	Severe acute respiratory syndrome coronavirus 2	2697049	50	PRJNA930974
SAMN33040284	WHP5049	WHP5049	Severe acute respiratory syndrome coronavirus 2	2697049	51	PRJNA930974
SAMN33040285	WHP5051	WHP5051	Severe acute respiratory syndrome coronavirus 2	2697049	52	PRJNA930974
SAMN33040286	WHP5056	WHP5056	Severe acute respiratory syndrome coronavirus 2	2697049	2711	PRJNA930974
SAMN33040287	WHP5057	WHP5057	Severe acute respiratory syndrome coronavirus 2	2697049	54	PRJNA930974
SAMN33040288	WHP5061	WHP5061	Severe acute respiratory syndrome coronavirus 2	2697049	56	PRJNA930974
SAMN33040289	WHP5062	WHP5062	Severe acute respiratory syndrome coronavirus 2	2697049	2712	PRJNA930974
SAMN33040290	WHP5063	WHP5063	Severe acute respiratory syndrome coronavirus 2	2697049	58	PRJNA930974
SAMN33040291	WHP5067	WHP5067	Severe acute respiratory syndrome coronavirus 2	2697049	61	PRJNA930974
SAMN33040292	WHP5068	WHP5068	Severe acute respiratory syndrome coronavirus 2	2697049	62	PRJNA930974
SAMN33040293	WHP5070	WHP5070	Severe acute respiratory syndrome coronavirus 2	2697049	63	PRJNA930974
SAMN33040294	WHP5072	WHP5072	Severe acute respiratory syndrome coronavirus 2	2697049	64	PRJNA930974
SAMN33040295	WHP5074	WHP5074	Severe acute respiratory syndrome coronavirus 2	2697049	2713	PRJNA930974
SAMN33040296	WHP5075	WHP5075	Severe acute respiratory syndrome coronavirus 2	2697049	65	PRJNA930974
SAMN33040297	WHP5076	WHP5076	Severe acute respiratory syndrome coronavirus 2	2697049	55	PRJNA930974
SAMN33040298	WHP5077	WHP5077	Severe acute respiratory syndrome coronavirus 2	2697049	57	PRJNA930974
SAMN33040299	WHP5079	WHP5079	Severe acute respiratory syndrome coronavirus 2	2697049	59	PRJNA930974
SAMN33040300	WHP5083	WHP5083	Severe acute respiratory syndrome coronavirus 2	2697049	60	PRJNA930974
SAMN33040301	WHP5085	WHP5085	Severe acute respiratory syndrome coronavirus 2	2697049	67	PRJNA930974
SAMN33040302	WHP5086	WHP5086	Severe acute respiratory syndrome coronavirus 2	2697049	68	PRJNA930974
SAMN33040303	WHP5087	WHP5087	Severe acute respiratory syndrome coronavirus 2	2697049	69	PRJNA930974
SAMN33040304	WHP5088	WHP5088	Severe acute respiratory syndrome coronavirus 2	2697049	70	PRJNA930974
SAMN33040305	WHP5092	WHP5092	Severe acute respiratory syndrome coronavirus 2	2697049	2714	PRJNA930974
SAMN33040306	WHP5094	WHP5094	Severe acute respiratory syndrome coronavirus 2	2697049	66	PRJNA930974
SAMN33040307	WHP5095	WHP5095	Severe acute respiratory syndrome coronavirus 2	2697049	2715	PRJNA930974
SAMN33040308	WHP5096	WHP5096	Severe acute respiratory syndrome coronavirus 2	2697049	2716	PRJNA930974
SAMN33040309	WHP5113-S10-iseq	WHP5113-S10-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	71	PRJNA930974
SAMN33040310	WHP5143-iseq	WHP5143-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	72	PRJNA930974
SAMN33040311	WHP5403	WHP5403	Severe acute respiratory syndrome coronavirus 2	2697049	74	PRJNA930974
SAMN33040312	WHP5404	WHP5404	Severe acute respiratory syndrome coronavirus 2	2697049	76	PRJNA930974
SAMN33040313	WHP5405	WHP5405	Severe acute respiratory syndrome coronavirus 2	2697049	2723	PRJNA930974
SAMN33040314	WHP5408-S1-iseq	WHP5408-S1-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	82	PRJNA930974
SAMN33040315	WHP5410-S11-iseq	WHP5410-S11-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	83	PRJNA930974
SAMN33040316	WHP5413	WHP5413	Severe acute respiratory syndrome coronavirus 2	2697049	2724	PRJNA930974
SAMN33040317	WHP5415-S14-iseq	WHP5415-S14-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	79	PRJNA930974
SAMN33040318	WHP5416-S15-iseq	WHP5416-S15-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	80	PRJNA930974
SAMN33040319	WHP5419	WHP5419	Severe acute respiratory syndrome coronavirus 2	2697049	81	PRJNA930974
SAMN33040320	WHP5424-S2-iseq	WHP5424-S2-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	77	PRJNA930974
SAMN33040321	WHP5428-S3-iseq	WHP5428-S3-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	2722	PRJNA930974
SAMN33040322	WHP5454	WHP5454	Severe acute respiratory syndrome coronavirus 2	2697049	78	PRJNA930974
SAMN33040323	WHP5456-S13-iseq	WHP5456-S13-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	75	PRJNA930974
SAMN33040324	WHP5458	WHP5458	Severe acute respiratory syndrome coronavirus 2	2697049	2718	PRJNA930974
SAMN33040325	WHP5460	WHP5460	Severe acute respiratory syndrome coronavirus 2	2697049	2719	PRJNA930974
SAMN33040326	WHP5461	WHP5461	Severe acute respiratory syndrome coronavirus 2	2697049	2720	PRJNA930974
SAMN33040327	WHP5464	WHP5464	Severe acute respiratory syndrome coronavirus 2	2697049	2721	PRJNA930974
SAMN33040328	WHP5474	WHP5474	Severe acute respiratory syndrome coronavirus 2	2697049	2717	PRJNA930974
SAMN33040329	WHP5480	WHP5480	Severe acute respiratory syndrome coronavirus 2	2697049	73	PRJNA930974
SAMN33040330	WHP5512-S7-iseq	WHP5512-S7-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	85	PRJNA930974
SAMN33040331	WHP5514-S9-iseq	WHP5514-S9-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	86	PRJNA930974
SAMN33040332	WHP5515-S15-iseq	WHP5515-S15-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	2725	PRJNA930974
SAMN33040333	WHP5516-S10-iseq	WHP5516-S10-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	2726	PRJNA930974
SAMN33040334	WHP5517-S16-iseq	WHP5517-S16-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	2727	PRJNA930974
SAMN33040335	WHP5519-S12-iseq	WHP5519-S12-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	87	PRJNA930974
SAMN33040336	WHP5520	WHP5520	Severe acute respiratory syndrome coronavirus 2	2697049	88	PRJNA930974
SAMN33040337	WHP5521-S13-iseq	WHP5521-S13-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	89	PRJNA930974
SAMN33040338	WHP5522-S14-iseq	WHP5522-S14-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	90	PRJNA930974
SAMN33040339	WHP5526-S18-iseq	WHP5526-S18-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	2728	PRJNA930974
SAMN33040340	WHP5531-S20-iseq	WHP5531-S20-iseq	Severe acute respiratory syndrome coronavirus 2	2697049	99	PRJNA930974
SAMN33040341	WHP5539	WHP5539	Severe acute respiratory syndrome coronavirus 2	2697049	84	PRJNA930974
SAMN33040342	WHP5542	WHP5542	Severe acute respiratory syndrome coronavirus 2	2697049	2735	PRJNA930974
SAMN33040343	WHP5543	WHP5543	Severe acute respiratory syndrome coronavirus 2	2697049	103	PRJNA930974
SAMN33040344	WHP5546	WHP5546	Severe acute respiratory syndrome coronavirus 2	2697049	104	PRJNA930974
SAMN33040345	WHP5551	WHP5551	Severe acute respiratory syndrome coronavirus 2	2697049	2733	PRJNA930974
SAMN33040346	WHP5552	WHP5552	Severe acute respiratory syndrome coronavirus 2	2697049	101	PRJNA930974
SAMN33040347	WHP5553	WHP5553	Severe acute respiratory syndrome coronavirus 2	2697049	102	PRJNA930974
SAMN33040348	WHP5555	WHP5555	Severe acute respiratory syndrome coronavirus 2	2697049	2734	PRJNA930974
SAMN33040349	WHP5556	WHP5556	Severe acute respiratory syndrome coronavirus 2	2697049	2732	PRJNA930974
SAMN33040350	WHP5557	WHP5557	Severe acute respiratory syndrome coronavirus 2	2697049	100	PRJNA930974
SAMN33040351	WHP5563	WHP5563	Severe acute respiratory syndrome coronavirus 2	2697049	97	PRJNA930974
SAMN33040352	WHP5564	WHP5564	Severe acute respiratory syndrome coronavirus 2	2697049	98	PRJNA930974
SAMN33040353	WHP5566	WHP5566	Severe acute respiratory syndrome coronavirus 2	2697049	2729	PRJNA930974
SAMN33040354	WHP5567	WHP5567	Severe acute respiratory syndrome coronavirus 2	2697049	2730	PRJNA930974
SAMN33040355	WHP5569	WHP5569	Severe acute respiratory syndrome coronavirus 2	2697049	2731	PRJNA930974
SAMN33040356	WHP5580	WHP5580	Severe acute respiratory syndrome coronavirus 2	2697049	91	PRJNA930974
SAMN33040357	WHP5581	WHP5581	Severe acute respiratory syndrome coronavirus 2	2697049	92	PRJNA930974
SAMN33040358	WHP5583	WHP5583	Severe acute respiratory syndrome coronavirus 2	2697049	93	PRJNA930974
SAMN33040359	WHP5584	WHP5584	Severe acute respiratory syndrome coronavirus 2	2697049	94	PRJNA930974
SAMN33040360	WHP5585	WHP5585	Severe acute respiratory syndrome coronavirus 2	2697049	95	PRJNA930974
SAMN33040361	WHP5586	WHP5586	Severe acute respiratory syndrome coronavirus 2	2697049	96	PRJNA930974
SAMN33040362	WHP5846	WHP5846	Severe acute respiratory syndrome coronavirus 2	2697049	113	PRJNA930974
SAMN33040363	WHP5848	WHP5848	Severe acute respiratory syndrome coronavirus 2	2697049	114	PRJNA930974
SAMN33040364	WHP5849	WHP5849	Severe acute respiratory syndrome coronavirus 2	2697049	115	PRJNA930974
SAMN33040365	WHP5858	WHP5858	Severe acute respiratory syndrome coronavirus 2	2697049	116	PRJNA930974
SAMN33040366	WHP5860	WHP5860	Severe acute respiratory syndrome coronavirus 2	2697049	2737	PRJNA930974
SAMN33040367	WHP5861	WHP5861	Severe acute respiratory syndrome coronavirus 2	2697049	117	PRJNA930974
SAMN33040368	WHP5863	WHP5863	Severe acute respiratory syndrome coronavirus 2	2697049	118	PRJNA930974
SAMN33040369	WHP5865	WHP5865	Severe acute respiratory syndrome coronavirus 2	2697049	119	PRJNA930974
SAMN33040370	WHP5871	WHP5871	Severe acute respiratory syndrome coronavirus 2	2697049	2738	PRJNA930974
SAMN33040371	WHP5872	WHP5872	Severe acute respiratory syndrome coronavirus 2	2697049	2739	PRJNA930974
SAMN33040372	WHP5875	WHP5875	Severe acute respiratory syndrome coronavirus 2	2697049	2740	PRJNA930974
SAMN33040373	WHP5876	WHP5876	Severe acute respiratory syndrome coronavirus 2	2697049	120	PRJNA930974
SAMN33040374	WHP5877	WHP5877	Severe acute respiratory syndrome coronavirus 2	2697049	121	PRJNA930974
SAMN33040375	WHP5879	WHP5879	Severe acute respiratory syndrome coronavirus 2	2697049	2741	PRJNA930974
SAMN33040376	WHP5881	WHP5881	Severe acute respiratory syndrome coronavirus 2	2697049	2742	PRJNA930974
SAMN33040377	WHP5883	WHP5883	Severe acute respiratory syndrome coronavirus 2	2697049	2743	PRJNA930974
SAMN33040378	WHP5889	WHP5889	Severe acute respiratory syndrome coronavirus 2	2697049	122	PRJNA930974
