Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN33039046	WHP2606	WHP2606	Severe acute respiratory syndrome coronavirus 2	2697049	1548	PRJNA930974
SAMN33039047	WHP2607	WHP2607	Severe acute respiratory syndrome coronavirus 2	2697049	1549	PRJNA930974
SAMN33039048	WHP2619	WHP2619	Severe acute respiratory syndrome coronavirus 2	2697049	1550	PRJNA930974
SAMN33039049	WHP2620	WHP2620	Severe acute respiratory syndrome coronavirus 2	2697049	1551	PRJNA930974
SAMN33039050	WHP2621	WHP2621	Severe acute respiratory syndrome coronavirus 2	2697049	1552	PRJNA930974
SAMN33039051	WHP2623	WHP2623	Severe acute respiratory syndrome coronavirus 2	2697049	1553	PRJNA930974
SAMN33039052	WHP2629	WHP2629	Severe acute respiratory syndrome coronavirus 2	2697049	1554	PRJNA930974
SAMN33039053	WHP2631	WHP2631	Severe acute respiratory syndrome coronavirus 2	2697049	1574	PRJNA930974
SAMN33039054	WHP2633	WHP2633	Severe acute respiratory syndrome coronavirus 2	2697049	1575	PRJNA930974
SAMN33039055	WHP2634	WHP2634	Severe acute respiratory syndrome coronavirus 2	2697049	1568	PRJNA930974
SAMN33039056	WHP2636	WHP2636	Severe acute respiratory syndrome coronavirus 2	2697049	1570	PRJNA930974
SAMN33039057	WHP2637	WHP2637	Severe acute respiratory syndrome coronavirus 2	2697049	1569	PRJNA930974
SAMN33039058	WHP2639	WHP2639	Severe acute respiratory syndrome coronavirus 2	2697049	1571	PRJNA930974
SAMN33039059	WHP2640	WHP2640	Severe acute respiratory syndrome coronavirus 2	2697049	1572	PRJNA930974
SAMN33039060	WHP2642	WHP2642	Severe acute respiratory syndrome coronavirus 2	2697049	1573	PRJNA930974
SAMN33039061	WHP2643	WHP2643	Severe acute respiratory syndrome coronavirus 2	2697049	1561	PRJNA930974
SAMN33039062	WHP2644	WHP2644	Severe acute respiratory syndrome coronavirus 2	2697049	1562	PRJNA930974
