Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	BioProject
SAMN33039063	WHP2645	WHP2645	Severe acute respiratory syndrome coronavirus 2	2697049	1563	PRJNA930974
SAMN33039064	WHP2647	WHP2647	Severe acute respiratory syndrome coronavirus 2	2697049	1564	PRJNA930974
SAMN33039065	WHP2649	WHP2649	Severe acute respiratory syndrome coronavirus 2	2697049	1565	PRJNA930974
SAMN33039066	WHP2650	WHP2650	Severe acute respiratory syndrome coronavirus 2	2697049	1566	PRJNA930974
SAMN33039067	WHP2651	WHP2651	Severe acute respiratory syndrome coronavirus 2	2697049	1567	PRJNA930974
SAMN33039068	WHP2654	WHP2654	Severe acute respiratory syndrome coronavirus 2	2697049	1558	PRJNA930974
SAMN33039069	WHP2657	WHP2657	Severe acute respiratory syndrome coronavirus 2	2697049	1559	PRJNA930974
SAMN33039070	WHP2661	WHP2661	Severe acute respiratory syndrome coronavirus 2	2697049	1560	PRJNA930974
SAMN33039071	WHP2662	WHP2662	Severe acute respiratory syndrome coronavirus 2	2697049	1555	PRJNA930974
SAMN33039072	WHP2663	WHP2663	Severe acute respiratory syndrome coronavirus 2	2697049	1556	PRJNA930974
SAMN33039073	WHP2667	WHP2667	Severe acute respiratory syndrome coronavirus 2	2697049	1557	PRJNA930974
SAMN33039074	WHP2668	WHP2668	Severe acute respiratory syndrome coronavirus 2	2697049	1541	PRJNA930974
SAMN33039075	WHP2673	WHP2673	Severe acute respiratory syndrome coronavirus 2	2697049	1576	PRJNA930974
SAMN33039076	WHP2677	WHP2677	Severe acute respiratory syndrome coronavirus 2	2697049	1577	PRJNA930974
SAMN33039077	WHP2679	WHP2679	Severe acute respiratory syndrome coronavirus 2	2697049	1578	PRJNA930974
SAMN33039078	WHP2680	WHP2680	Severe acute respiratory syndrome coronavirus 2	2697049	1579	PRJNA930974
SAMN33039079	WHP2681	WHP2681	Severe acute respiratory syndrome coronavirus 2	2697049	1580	PRJNA930974
SAMN33039080	WHP2682	WHP2682	Severe acute respiratory syndrome coronavirus 2	2697049	1581	PRJNA930974
SAMN33039081	WHP2683	WHP2683	Severe acute respiratory syndrome coronavirus 2	2697049	1582	PRJNA930974
SAMN33039082	WHP2684	WHP2684	Severe acute respiratory syndrome coronavirus 2	2697049	1583	PRJNA930974
SAMN33039083	WHP2685	WHP2685	Severe acute respiratory syndrome coronavirus 2	2697049	1584	PRJNA930974
SAMN33039084	WHP2686	WHP2686	Severe acute respiratory syndrome coronavirus 2	2697049	1585	PRJNA930974
SAMN33039085	WHP2687	WHP2687	Severe acute respiratory syndrome coronavirus 2	2697049	1586	PRJNA930974
SAMN33039086	WHP2688	WHP2688	Severe acute respiratory syndrome coronavirus 2	2697049	1587	PRJNA930974
SAMN33039087	WHP2689	WHP2689	Severe acute respiratory syndrome coronavirus 2	2697049	1588	PRJNA930974
SAMN33039088	WHP2692	WHP2692	Severe acute respiratory syndrome coronavirus 2	2697049	1589	PRJNA930974
SAMN33039089	WHP2693	WHP2693	Severe acute respiratory syndrome coronavirus 2	2697049	1590	PRJNA930974
SAMN33039090	WHP2695	WHP2695	Severe acute respiratory syndrome coronavirus 2	2697049	1591	PRJNA930974
SAMN33039091	WHP2696	WHP2696	Severe acute respiratory syndrome coronavirus 2	2697049	1592	PRJNA930974
SAMN33039092	WHP2699	WHP2699	Severe acute respiratory syndrome coronavirus 2	2697049	1593	PRJNA930974
SAMN33039093	WHP2700	WHP2700	Severe acute respiratory syndrome coronavirus 2	2697049	1594	PRJNA930974
SAMN33039094	WHP2703	WHP2703	Severe acute respiratory syndrome coronavirus 2	2697049	1595	PRJNA930974
SAMN33039095	WHP2704	WHP2704	Severe acute respiratory syndrome coronavirus 2	2697049	1596	PRJNA930974
SAMN33039096	WHP2706	WHP2706	Severe acute respiratory syndrome coronavirus 2	2697049	1597	PRJNA930974
SAMN33039097	WHP2707	WHP2707	Severe acute respiratory syndrome coronavirus 2	2697049	1598	PRJNA930974
SAMN33039098	WHP2710	WHP2710	Severe acute respiratory syndrome coronavirus 2	2697049	1599	PRJNA930974
SAMN33039099	WHP2713	WHP2713	Severe acute respiratory syndrome coronavirus 2	2697049	1600	PRJNA930974
SAMN33039100	WHP2714	WHP2714	Severe acute respiratory syndrome coronavirus 2	2697049	1601	PRJNA930974
SAMN33039101	WHP2715	WHP2715	Severe acute respiratory syndrome coronavirus 2	2697049	1602	PRJNA930974
SAMN33039102	WHP2716	WHP2716	Severe acute respiratory syndrome coronavirus 2	2697049	1603	PRJNA930974
SAMN33039103	WHP2718	WHP2718	Severe acute respiratory syndrome coronavirus 2	2697049	1604	PRJNA930974
SAMN33039104	WHP2719	WHP2719	Severe acute respiratory syndrome coronavirus 2	2697049	1605	PRJNA930974
SAMN33039105	WHP2721	WHP2721	Severe acute respiratory syndrome coronavirus 2	2697049	1606	PRJNA930974
SAMN33039106	WHP2722	WHP2722	Severe acute respiratory syndrome coronavirus 2	2697049	1607	PRJNA930974
SAMN33039107	WHP2723	WHP2723	Severe acute respiratory syndrome coronavirus 2	2697049	1608	PRJNA930974
SAMN33039108	WHP2724	WHP2724	Severe acute respiratory syndrome coronavirus 2	2697049	1609	PRJNA930974
SAMN33039109	WHP2726	WHP2726	Severe acute respiratory syndrome coronavirus 2	2697049	1610	PRJNA930974
SAMN33039110	WHP2727	WHP2727	Severe acute respiratory syndrome coronavirus 2	2697049	1611	PRJNA930974
SAMN33039111	WHP2729	WHP2729	Severe acute respiratory syndrome coronavirus 2	2697049	1612	PRJNA930974
SAMN33039112	WHP2730	WHP2730	Severe acute respiratory syndrome coronavirus 2	2697049	1613	PRJNA930974
SAMN33039113	WHP2732	WHP2732	Severe acute respiratory syndrome coronavirus 2	2697049	1614	PRJNA930974
SAMN33039114	WHP2734	WHP2734	Severe acute respiratory syndrome coronavirus 2	2697049	1615	PRJNA930974
SAMN33039115	WHP2735	WHP2735	Severe acute respiratory syndrome coronavirus 2	2697049	1616	PRJNA930974
SAMN33039116	WHP2737	WHP2737	Severe acute respiratory syndrome coronavirus 2	2697049	1617	PRJNA930974
SAMN33039117	WHP2790	WHP2790	Severe acute respiratory syndrome coronavirus 2	2697049	1618	PRJNA930974
SAMN33039118	WHP2791	WHP2791	Severe acute respiratory syndrome coronavirus 2	2697049	1619	PRJNA930974
SAMN33039119	WHP2792	WHP2792	Severe acute respiratory syndrome coronavirus 2	2697049	1620	PRJNA930974
SAMN33039120	WHP2793	WHP2793	Severe acute respiratory syndrome coronavirus 2	2697049	1621	PRJNA930974
SAMN33039121	WHP2794	WHP2794	Severe acute respiratory syndrome coronavirus 2	2697049	1622	PRJNA930974
SAMN33039122	WHP2795	WHP2795	Severe acute respiratory syndrome coronavirus 2	2697049	1623	PRJNA930974
SAMN33039123	WHP2796	WHP2796	Severe acute respiratory syndrome coronavirus 2	2697049	1624	PRJNA930974
SAMN33039124	WHP2797	WHP2797	Severe acute respiratory syndrome coronavirus 2	2697049	1625	PRJNA930974
SAMN33039125	WHP2800	WHP2800	Severe acute respiratory syndrome coronavirus 2	2697049	1626	PRJNA930974
SAMN33039126	WHP2801	WHP2801	Severe acute respiratory syndrome coronavirus 2	2697049	1627	PRJNA930974
SAMN33039127	WHP2803	WHP2803	Severe acute respiratory syndrome coronavirus 2	2697049	1643	PRJNA930974
SAMN33039128	WHP2806	WHP2806	Severe acute respiratory syndrome coronavirus 2	2697049	1644	PRJNA930974
SAMN33039129	WHP2808	WHP2808	Severe acute respiratory syndrome coronavirus 2	2697049	1645	PRJNA930974
SAMN33039130	WHP2809	WHP2809	Severe acute respiratory syndrome coronavirus 2	2697049	1646	PRJNA930974
SAMN33039131	WHP2813	WHP2813	Severe acute respiratory syndrome coronavirus 2	2697049	1647	PRJNA930974
SAMN33039132	WHP2814	WHP2814	Severe acute respiratory syndrome coronavirus 2	2697049	1648	PRJNA930974
SAMN33039133	WHP2816	WHP2816	Severe acute respiratory syndrome coronavirus 2	2697049	1649	PRJNA930974
SAMN33039134	WHP2824	WHP2824	Severe acute respiratory syndrome coronavirus 2	2697049	1650	PRJNA930974
SAMN33039135	WHP2826	WHP2826	Severe acute respiratory syndrome coronavirus 2	2697049	1651	PRJNA930974
SAMN33039136	WHP2827	WHP2827	Severe acute respiratory syndrome coronavirus 2	2697049	1652	PRJNA930974
SAMN33039137	WHP2828	WHP2828	Severe acute respiratory syndrome coronavirus 2	2697049	1653	PRJNA930974
SAMN33039138	WHP2829	WHP2829	Severe acute respiratory syndrome coronavirus 2	2697049	1654	PRJNA930974
SAMN33039139	WHP2830	WHP2830	Severe acute respiratory syndrome coronavirus 2	2697049	1655	PRJNA930974
SAMN33039140	WHP2832	WHP2832	Severe acute respiratory syndrome coronavirus 2	2697049	1656	PRJNA930974
SAMN33039141	WHP2833	WHP2833	Severe acute respiratory syndrome coronavirus 2	2697049	1657	PRJNA930974
SAMN33039142	WHP2834	WHP2834	Severe acute respiratory syndrome coronavirus 2	2697049	1658	PRJNA930974
SAMN33039143	WHP2835	WHP2835	Severe acute respiratory syndrome coronavirus 2	2697049	1659	PRJNA930974
SAMN33039144	WHP2838	WHP2838	Severe acute respiratory syndrome coronavirus 2	2697049	1660	PRJNA930974
SAMN33039145	WHP2840	WHP2840	Severe acute respiratory syndrome coronavirus 2	2697049	1661	PRJNA930974
SAMN33039146	WHP2841	WHP2841	Severe acute respiratory syndrome coronavirus 2	2697049	1662	PRJNA930974
SAMN33039147	WHP2842	WHP2842	Severe acute respiratory syndrome coronavirus 2	2697049	1663	PRJNA930974
SAMN33039148	WHP2843	WHP2843	Severe acute respiratory syndrome coronavirus 2	2697049	1664	PRJNA930974
SAMN33039149	WHP2844	WHP2844	Severe acute respiratory syndrome coronavirus 2	2697049	1665	PRJNA930974
SAMN33039150	WHP2845	WHP2845	Severe acute respiratory syndrome coronavirus 2	2697049	1667	PRJNA930974
SAMN33039151	WHP2846	WHP2846	Severe acute respiratory syndrome coronavirus 2	2697049	1668	PRJNA930974
SAMN33039152	WHP2848	WHP2848	Severe acute respiratory syndrome coronavirus 2	2697049	1669	PRJNA930974
SAMN33039153	WHP2850	WHP2850	Severe acute respiratory syndrome coronavirus 2	2697049	1670	PRJNA930974
SAMN33039154	WHP2851	WHP2851	Severe acute respiratory syndrome coronavirus 2	2697049	1671	PRJNA930974
SAMN33039155	WHP2852	WHP2852	Severe acute respiratory syndrome coronavirus 2	2697049	1672	PRJNA930974
SAMN33039156	WHP2853	WHP2853	Severe acute respiratory syndrome coronavirus 2	2697049	874	PRJNA930974
SAMN33039157	WHP2854	WHP2854	Severe acute respiratory syndrome coronavirus 2	2697049	1673	PRJNA930974
SAMN33039158	WHP2855	WHP2855	Severe acute respiratory syndrome coronavirus 2	2697049	1674	PRJNA930974
SAMN33039159	WHP2856	WHP2856	Severe acute respiratory syndrome coronavirus 2	2697049	1677	PRJNA930974
SAMN33039160	WHP2857	WHP2857	Severe acute respiratory syndrome coronavirus 2	2697049	1678	PRJNA930974
SAMN33039161	WHP2858	WHP2858	Severe acute respiratory syndrome coronavirus 2	2697049	1679	PRJNA930974
SAMN33039162	WHP2859	WHP2859	Severe acute respiratory syndrome coronavirus 2	2697049	1680	PRJNA930974
SAMN33039163	WHP2860	WHP2860	Severe acute respiratory syndrome coronavirus 2	2697049	1681	PRJNA930974
SAMN33039164	WHP2861	WHP2861	Severe acute respiratory syndrome coronavirus 2	2697049	1682	PRJNA930974
SAMN33039165	WHP2864	WHP2864	Severe acute respiratory syndrome coronavirus 2	2697049	1683	PRJNA930974
SAMN33039166	WHP2865	WHP2865	Severe acute respiratory syndrome coronavirus 2	2697049	1684	PRJNA930974
SAMN33039167	WHP2867	WHP2867	Severe acute respiratory syndrome coronavirus 2	2697049	1685	PRJNA930974
SAMN33039168	WHP2868	WHP2868	Severe acute respiratory syndrome coronavirus 2	2697049	1686	PRJNA930974
SAMN33039169	WHP2871	WHP2871	Severe acute respiratory syndrome coronavirus 2	2697049	1687	PRJNA930974
SAMN33039170	WHP2872	WHP2872	Severe acute respiratory syndrome coronavirus 2	2697049	1688	PRJNA930974
SAMN33039171	WHP2878	WHP2878	Severe acute respiratory syndrome coronavirus 2	2697049	1689	PRJNA930974
SAMN33039172	WHP2879	WHP2879	Severe acute respiratory syndrome coronavirus 2	2697049	1690	PRJNA930974
SAMN33039173	WHP2880	WHP2880	Severe acute respiratory syndrome coronavirus 2	2697049	1691	PRJNA930974
SAMN33039174	WHP2881	WHP2881	Severe acute respiratory syndrome coronavirus 2	2697049	1692	PRJNA930974
SAMN33039175	WHP2882	WHP2882	Severe acute respiratory syndrome coronavirus 2	2697049	1693	PRJNA930974
SAMN33039176	WHP2883	WHP2883	Severe acute respiratory syndrome coronavirus 2	2697049	1694	PRJNA930974
SAMN33039177	WHP2884	WHP2884	Severe acute respiratory syndrome coronavirus 2	2697049	1695	PRJNA930974
SAMN33039178	WHP2885	WHP2885	Severe acute respiratory syndrome coronavirus 2	2697049	1696	PRJNA930974
SAMN33039179	WHP2886	WHP2886	Severe acute respiratory syndrome coronavirus 2	2697049	1697	PRJNA930974
SAMN33039180	WHP2887	WHP2887	Severe acute respiratory syndrome coronavirus 2	2697049	1698	PRJNA930974
SAMN33039181	WHP2888	WHP2888	Severe acute respiratory syndrome coronavirus 2	2697049	1699	PRJNA930974
SAMN33039182	WHP2889	WHP2889	Severe acute respiratory syndrome coronavirus 2	2697049	1700	PRJNA930974
SAMN33039183	WHP2890	WHP2890	Severe acute respiratory syndrome coronavirus 2	2697049	1701	PRJNA930974
SAMN33039184	WHP2892	WHP2892	Severe acute respiratory syndrome coronavirus 2	2697049	1702	PRJNA930974
SAMN33039185	WHP2895	WHP2895	Severe acute respiratory syndrome coronavirus 2	2697049	1703	PRJNA930974
SAMN33039186	WHP2896	WHP2896	Severe acute respiratory syndrome coronavirus 2	2697049	1704	PRJNA930974
SAMN33039187	WHP2897	WHP2897	Severe acute respiratory syndrome coronavirus 2	2697049	1705	PRJNA930974
SAMN33039188	WHP2898	WHP2898	Severe acute respiratory syndrome coronavirus 2	2697049	1706	PRJNA930974
SAMN33039189	WHP2899	WHP2899	Severe acute respiratory syndrome coronavirus 2	2697049	1707	PRJNA930974
SAMN33039190	WHP2902	WHP2902	Severe acute respiratory syndrome coronavirus 2	2697049	1708	PRJNA930974
SAMN33039191	WHP2903	WHP2903	Severe acute respiratory syndrome coronavirus 2	2697049	1709	PRJNA930974
SAMN33039192	WHP2905	WHP2905	Severe acute respiratory syndrome coronavirus 2	2697049	1710	PRJNA930974
SAMN33039193	WHP2906	WHP2906	Severe acute respiratory syndrome coronavirus 2	2697049	1711	PRJNA930974
SAMN33039194	WHP2907	WHP2907	Severe acute respiratory syndrome coronavirus 2	2697049	1712	PRJNA930974
SAMN33039195	WHP2908	WHP2908	Severe acute respiratory syndrome coronavirus 2	2697049	1713	PRJNA930974
SAMN33039196	WHP2911	WHP2911	Severe acute respiratory syndrome coronavirus 2	2697049	1714	PRJNA930974
SAMN33039197	WHP2912	WHP2912	Severe acute respiratory syndrome coronavirus 2	2697049	1715	PRJNA930974
SAMN33039198	WHP2913	WHP2913	Severe acute respiratory syndrome coronavirus 2	2697049	1716	PRJNA930974
SAMN33039199	WHP2914	WHP2914	Severe acute respiratory syndrome coronavirus 2	2697049	1717	PRJNA930974
SAMN33039200	WHP2917	WHP2917	Severe acute respiratory syndrome coronavirus 2	2697049	1718	PRJNA930974
SAMN33039201	WHP2918	WHP2918	Severe acute respiratory syndrome coronavirus 2	2697049	1719	PRJNA930974
SAMN33039202	WHP2919	WHP2919	Severe acute respiratory syndrome coronavirus 2	2697049	1720	PRJNA930974
SAMN33039203	WHP2920	WHP2920	Severe acute respiratory syndrome coronavirus 2	2697049	1721	PRJNA930974
SAMN33039204	WHP2921	WHP2921	Severe acute respiratory syndrome coronavirus 2	2697049	1722	PRJNA930974
SAMN33039205	WHP2923	WHP2923	Severe acute respiratory syndrome coronavirus 2	2697049	1723	PRJNA930974
SAMN33039206	WHP2925	WHP2925	Severe acute respiratory syndrome coronavirus 2	2697049	1724	PRJNA930974
SAMN33039207	WHP2927	WHP2927	Severe acute respiratory syndrome coronavirus 2	2697049	1725	PRJNA930974
SAMN33039208	WHP2929	WHP2929	Severe acute respiratory syndrome coronavirus 2	2697049	1726	PRJNA930974
SAMN33039209	WHP2930	WHP2930	Severe acute respiratory syndrome coronavirus 2	2697049	1727	PRJNA930974
SAMN33039210	WHP2936	WHP2936	Severe acute respiratory syndrome coronavirus 2	2697049	1728	PRJNA930974
SAMN33039211	WHP2938	WHP2938	Severe acute respiratory syndrome coronavirus 2	2697049	1729	PRJNA930974
SAMN33039212	WHP2939	WHP2939	Severe acute respiratory syndrome coronavirus 2	2697049	1730	PRJNA930974
SAMN33039213	WHP2941	WHP2941	Severe acute respiratory syndrome coronavirus 2	2697049	1731	PRJNA930974
SAMN33039214	WHP2942	WHP2942	Severe acute respiratory syndrome coronavirus 2	2697049	1732	PRJNA930974
SAMN33039215	WHP2943	WHP2943	Severe acute respiratory syndrome coronavirus 2	2697049	1733	PRJNA930974
SAMN33039216	WHP2945	WHP2945	Severe acute respiratory syndrome coronavirus 2	2697049	1734	PRJNA930974
SAMN33039217	WHP2947	WHP2947	Severe acute respiratory syndrome coronavirus 2	2697049	1735	PRJNA930974
SAMN33039218	WHP2948	WHP2948	Severe acute respiratory syndrome coronavirus 2	2697049	1736	PRJNA930974
SAMN33039219	WHP2950	WHP2950	Severe acute respiratory syndrome coronavirus 2	2697049	1737	PRJNA930974
SAMN33039220	WHP2957	WHP2957	Severe acute respiratory syndrome coronavirus 2	2697049	1738	PRJNA930974
SAMN33039221	WHP2958	WHP2958	Severe acute respiratory syndrome coronavirus 2	2697049	1739	PRJNA930974
SAMN33039222	WHP2960	WHP2960	Severe acute respiratory syndrome coronavirus 2	2697049	1740	PRJNA930974
SAMN33039223	WHP2962	WHP2962	Severe acute respiratory syndrome coronavirus 2	2697049	1741	PRJNA930974
SAMN33039224	WHP2966	WHP2966	Severe acute respiratory syndrome coronavirus 2	2697049	1742	PRJNA930974
SAMN33039225	WHP2967	WHP2967	Severe acute respiratory syndrome coronavirus 2	2697049	1743	PRJNA930974
SAMN33039226	WHP2971	WHP2971	Severe acute respiratory syndrome coronavirus 2	2697049	1744	PRJNA930974
SAMN33039227	WHP2973	WHP2973	Severe acute respiratory syndrome coronavirus 2	2697049	1745	PRJNA930974
SAMN33039228	WHP2976	WHP2976	Severe acute respiratory syndrome coronavirus 2	2697049	1746	PRJNA930974
SAMN33039229	WHP2977	WHP2977	Severe acute respiratory syndrome coronavirus 2	2697049	1747	PRJNA930974
SAMN33039230	WHP2978	WHP2978	Severe acute respiratory syndrome coronavirus 2	2697049	1748	PRJNA930974
SAMN33039231	WHP2979	WHP2979	Severe acute respiratory syndrome coronavirus 2	2697049	1749	PRJNA930974
SAMN33039232	WHP2980	WHP2980	Severe acute respiratory syndrome coronavirus 2	2697049	1750	PRJNA930974
SAMN33039233	WHP2982	WHP2982	Severe acute respiratory syndrome coronavirus 2	2697049	1751	PRJNA930974
SAMN33039234	WHP2983	WHP2983	Severe acute respiratory syndrome coronavirus 2	2697049	1752	PRJNA930974
SAMN33039235	WHP2984	WHP2984	Severe acute respiratory syndrome coronavirus 2	2697049	1753	PRJNA930974
SAMN33039236	WHP2985	WHP2985	Severe acute respiratory syndrome coronavirus 2	2697049	1754	PRJNA930974
SAMN33039237	WHP2986	WHP2986	Severe acute respiratory syndrome coronavirus 2	2697049	1755	PRJNA930974
SAMN33039238	WHP2988	WHP2988	Severe acute respiratory syndrome coronavirus 2	2697049	1756	PRJNA930974
SAMN33039239	WHP2989	WHP2989	Severe acute respiratory syndrome coronavirus 2	2697049	1757	PRJNA930974
SAMN33039240	WHP3066	WHP3066	Severe acute respiratory syndrome coronavirus 2	2697049	1762	PRJNA930974
SAMN33039241	WHP3067	WHP3067	Severe acute respiratory syndrome coronavirus 2	2697049	1767	PRJNA930974
SAMN33039242	WHP3068	WHP3068	Severe acute respiratory syndrome coronavirus 2	2697049	1769	PRJNA930974
SAMN33039243	WHP3069	WHP3069	Severe acute respiratory syndrome coronavirus 2	2697049	1782	PRJNA930974
SAMN33039244	WHP3072	WHP3072	Severe acute respiratory syndrome coronavirus 2	2697049	1792	PRJNA930974
SAMN33039245	WHP3073	WHP3073	Severe acute respiratory syndrome coronavirus 2	2697049	1793	PRJNA930974
SAMN33039246	WHP3074	WHP3074	Severe acute respiratory syndrome coronavirus 2	2697049	1794	PRJNA930974
SAMN33039247	WHP3075	WHP3075	Severe acute respiratory syndrome coronavirus 2	2697049	1795	PRJNA930974
SAMN33039248	WHP3076	WHP3076	Severe acute respiratory syndrome coronavirus 2	2697049	1796	PRJNA930974
SAMN33039249	WHP3077	WHP3077	Severe acute respiratory syndrome coronavirus 2	2697049	1798	PRJNA930974
SAMN33039250	WHP3079	WHP3079	Severe acute respiratory syndrome coronavirus 2	2697049	1807	PRJNA930974
SAMN33039251	WHP3081	WHP3081	Severe acute respiratory syndrome coronavirus 2	2697049	1808	PRJNA930974
SAMN33039252	WHP3082	WHP3082	Severe acute respiratory syndrome coronavirus 2	2697049	1809	PRJNA930974
SAMN33039253	WHP3083	WHP3083	Severe acute respiratory syndrome coronavirus 2	2697049	1811	PRJNA930974
SAMN33039254	WHP3084	WHP3084	Severe acute respiratory syndrome coronavirus 2	2697049	1812	PRJNA930974
SAMN33039255	WHP3085	WHP3085	Severe acute respiratory syndrome coronavirus 2	2697049	1813	PRJNA930974
SAMN33039256	WHP3087	WHP3087	Severe acute respiratory syndrome coronavirus 2	2697049	1814	PRJNA930974
SAMN33039257	WHP3089	WHP3089	Severe acute respiratory syndrome coronavirus 2	2697049	1816	PRJNA930974
SAMN33039258	WHP3090	WHP3090	Severe acute respiratory syndrome coronavirus 2	2697049	1817	PRJNA930974
SAMN33039259	WHP3091	WHP3091	Severe acute respiratory syndrome coronavirus 2	2697049	1818	PRJNA930974
SAMN33039260	WHP3092	WHP3092	Severe acute respiratory syndrome coronavirus 2	2697049	1819	PRJNA930974
SAMN33039261	WHP3093	WHP3093	Severe acute respiratory syndrome coronavirus 2	2697049	1822	PRJNA930974
SAMN33039262	WHP3094	WHP3094	Severe acute respiratory syndrome coronavirus 2	2697049	1823	PRJNA930974
SAMN33039263	WHP3095	WHP3095	Severe acute respiratory syndrome coronavirus 2	2697049	1825	PRJNA930974
SAMN33039264	WHP3097	WHP3097	Severe acute respiratory syndrome coronavirus 2	2697049	1833	PRJNA930974
SAMN33039265	WHP3098	WHP3098	Severe acute respiratory syndrome coronavirus 2	2697049	1834	PRJNA930974
SAMN33039266	WHP3099	WHP3099	Severe acute respiratory syndrome coronavirus 2	2697049	1835	PRJNA930974
SAMN33039267	WHP3100	WHP3100	Severe acute respiratory syndrome coronavirus 2	2697049	1836	PRJNA930974
SAMN33039268	WHP3101	WHP3101	Severe acute respiratory syndrome coronavirus 2	2697049	1837	PRJNA930974
SAMN33039269	WHP3104	WHP3104	Severe acute respiratory syndrome coronavirus 2	2697049	1838	PRJNA930974
SAMN33039270	WHP3105	WHP3105	Severe acute respiratory syndrome coronavirus 2	2697049	1839	PRJNA930974
SAMN33039271	WHP3106	WHP3106	Severe acute respiratory syndrome coronavirus 2	2697049	1840	PRJNA930974
SAMN33039272	WHP3107	WHP3107	Severe acute respiratory syndrome coronavirus 2	2697049	1841	PRJNA930974
SAMN33039273	WHP3108	WHP3108	Severe acute respiratory syndrome coronavirus 2	2697049	1842	PRJNA930974
SAMN33039274	WHP3110	WHP3110	Severe acute respiratory syndrome coronavirus 2	2697049	1843	PRJNA930974
SAMN33039275	WHP3114	WHP3114	Severe acute respiratory syndrome coronavirus 2	2697049	1844	PRJNA930974
SAMN33039276	WHP3115	WHP3115	Severe acute respiratory syndrome coronavirus 2	2697049	1846	PRJNA930974
SAMN33039277	WHP3116	WHP3116	Severe acute respiratory syndrome coronavirus 2	2697049	1847	PRJNA930974
SAMN33039278	WHP3117	WHP3117	Severe acute respiratory syndrome coronavirus 2	2697049	1848	PRJNA930974
SAMN33039279	WHP3120	WHP3120	Severe acute respiratory syndrome coronavirus 2	2697049	1853	PRJNA930974
SAMN33039280	WHP3121	WHP3121	Severe acute respiratory syndrome coronavirus 2	2697049	1854	PRJNA930974
SAMN33039281	WHP3123	WHP3123	Severe acute respiratory syndrome coronavirus 2	2697049	1855	PRJNA930974
SAMN33039282	WHP3124	WHP3124	Severe acute respiratory syndrome coronavirus 2	2697049	1856	PRJNA930974
SAMN33039283	WHP3125	WHP3125	Severe acute respiratory syndrome coronavirus 2	2697049	1858	PRJNA930974
SAMN33039284	WHP3126	WHP3126	Severe acute respiratory syndrome coronavirus 2	2697049	1859	PRJNA930974
SAMN33039285	WHP3127	WHP3127	Severe acute respiratory syndrome coronavirus 2	2697049	1860	PRJNA930974
SAMN33039286	WHP3128	WHP3128	Severe acute respiratory syndrome coronavirus 2	2697049	1862	PRJNA930974
SAMN33039287	WHP3129	WHP3129	Severe acute respiratory syndrome coronavirus 2	2697049	1864	PRJNA930974
SAMN33039288	WHP3130	WHP3130	Severe acute respiratory syndrome coronavirus 2	2697049	1865	PRJNA930974
SAMN33039289	WHP3131	WHP3131	Severe acute respiratory syndrome coronavirus 2	2697049	1866	PRJNA930974
SAMN33039290	WHP3132	WHP3132	Severe acute respiratory syndrome coronavirus 2	2697049	1867	PRJNA930974
SAMN33039291	WHP3133	WHP3133	Severe acute respiratory syndrome coronavirus 2	2697049	1868	PRJNA930974
SAMN33039292	WHP3134	WHP3134	Severe acute respiratory syndrome coronavirus 2	2697049	1869	PRJNA930974
SAMN33039293	WHP3135	WHP3135	Severe acute respiratory syndrome coronavirus 2	2697049	1870	PRJNA930974
